ITEM_NO,COMPANY,Station_Series_ID,DynamicStartFt,DynamicEndFt,TestStartDateTime
2653,Great Lakes Gas Transmission,101300,333884,334796.998,1968-10-21 17:00:00
2653,Great Lakes Gas Transmission,102000,0,289,1968-10-21 17:00:00
2656,Great Lakes Gas Transmission,102000,289,85247.99882,1968-10-09 10:30:00
2656,Great Lakes Gas Transmission,102100,85248,93867,1968-10-09 10:30:00
2678,Great Lakes Gas Transmission,102100,93867,131121.9982,1968-10-08 10:30:00
2678,Great Lakes Gas Transmission,102150,131118,177088.9963,1968-10-08 10:30:00
2678,Great Lakes Gas Transmission,102200,177089,270000,1968-10-08 10:30:00
2561,Great Lakes Gas Transmission,102300,295393,347519,1968-09-14 18:35:00
2562,Great Lakes Gas Transmission,102300,347519,354589,1968-05-17 22:00:00
2563,Great Lakes Gas Transmission,102300,354589,354855,1968-05-05 08:30:00
2678,Great Lakes Gas Transmission,102300,270000.0004,295393,1968-10-08 10:30:00
2565,Great Lakes Gas Transmission,103000,84767.01457,86972.88071,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,71045.40693,73696.58476,1968-09-21 00:30:00
2563,Great Lakes Gas Transmission,103000,0,915,1968-05-05 08:30:00
2564,Great Lakes Gas Transmission,103000,915,13754,1968-05-05 11:15:00
2565,Great Lakes Gas Transmission,103000,13754,55883.1989,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,55883.1989,59341.16479,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,59341.16479,59541.70613,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,59541.70613,62261.41086,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,62261.41086,66904.03882,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,66904.03882,68714.27504,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,68714.27504,68840.90234,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,68840.90234,69029.85575,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,69029.85575,69430.91546,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,69430.91546,71045.40693,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,76487.70025,83036.2206,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,83036.2206,84767.01457,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,73696.58476,75396.36822,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,75396.36822,75419.87544,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,75419.87544,76487.70025,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,86972.88071,88271.38137,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,88271.38137,88378.05132,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,88378.05132,89710.91549,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,89710.91549,91286.52901,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103000,91286.52901,98120,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103100,102727.1688,104708.3138,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103100,98120.00015,98870.1117,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103100,98870.1117,99924.20619,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103100,99924.20619,101765.3086,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103100,101765.3086,102727.1688,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103100,104708.3138,169924.4524,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103100,169924.4524,173193.2089,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103100,173193.2089,176978,1968-09-21 00:30:00
2565,Great Lakes Gas Transmission,103200,176978.0022,184488,1968-09-21 00:30:00
2566,Great Lakes Gas Transmission,103200,184488,269822,1968-09-16 11:30:00
2567,Great Lakes Gas Transmission,103200,269822,274898,1968-08-30 16:15:00
2568,Great Lakes Gas Transmission,103300,345377.7761,348510.3942,1968-09-01 10:15:00
2567,Great Lakes Gas Transmission,103300,274898.0122,344610,1968-08-30 16:15:00
2568,Great Lakes Gas Transmission,103300,344610,345377.7761,1968-09-01 10:15:00
2568,Great Lakes Gas Transmission,103300,348510.3942,349966,1968-09-01 10:15:00
2569,Great Lakes Gas Transmission,103300,349966,365902.4087,1968-09-02 12:45:00
2569,Great Lakes Gas Transmission,103300,365902.4087,367210.122,1968-09-02 12:45:00
2569,Great Lakes Gas Transmission,103300,367210.122,367519.9218,1968-09-02 12:45:00
2569,Great Lakes Gas Transmission,103300,367519.9218,367531,1968-09-02 12:45:00
2570,Great Lakes Gas Transmission,103300,367531,368403.9999,1968-09-06 16:45:00
37775,Great Lakes Gas Transmission,104000,12727.22771,16027.71656,1968-08-19 18:03:00
2572,Great Lakes Gas Transmission,104000,12727.22771,16027.71656,1968-03-10 03:45:00
2574,Great Lakes Gas Transmission,104000,61686.70613,61782.34589,1968-08-14 21:55:00
2574,Great Lakes Gas Transmission,104000,61782.34589,63415.06899,1968-08-14 21:55:00
2574,Great Lakes Gas Transmission,104000,63415.06899,64048.09065,1968-08-14 21:55:00
2574,Great Lakes Gas Transmission,104000,64048.09065,66144,1968-08-14 21:55:00
2575,Great Lakes Gas Transmission,104000,66144,66167.99879,1968-08-08 21:10:00
37775,Great Lakes Gas Transmission,104000,388,1444.16667,1968-08-19 18:03:00
37775,Great Lakes Gas Transmission,104000,1444.16667,2004.99672,1968-08-19 18:03:00
37775,Great Lakes Gas Transmission,104000,2004.99672,4071.22376,1968-08-19 18:03:00
37775,Great Lakes Gas Transmission,104000,4071.22376,12727.22771,1968-08-19 18:03:00
2572,Great Lakes Gas Transmission,104000,11690,12727.22771,1968-03-10 03:45:00
2570,Great Lakes Gas Transmission,104000,0,388,1968-09-06 16:45:00
37775,Great Lakes Gas Transmission,104000,16027.71656,59168.51059,1968-08-19 18:03:00
37775,Great Lakes Gas Transmission,104000,59168.51059,59348,1968-08-19 18:03:00
2572,Great Lakes Gas Transmission,104000,16027.71656,19462,1968-03-10 03:45:00
2574,Great Lakes Gas Transmission,104000,59348,61516.62411,1968-08-14 21:55:00
2574,Great Lakes Gas Transmission,104000,61516.62411,61686.70613,1968-08-14 21:55:00
2576,Great Lakes Gas Transmission,104100,92803.46471,94404.60972,1968-08-10 10:15:00
2576,Great Lakes Gas Transmission,104100,94404.60972,95003.13007,1968-08-10 10:15:00
2576,Great Lakes Gas Transmission,104100,95003.13007,96891.06642,1968-08-10 10:15:00
2576,Great Lakes Gas Transmission,104100,96891.06642,97358.54674,1968-08-10 10:15:00
